Business Unit,Storage Location
Chocolala Seeb City Center,Chocolala Seeb City Center WH
Chocolala Al Saadah City Mall  Salalah,Chocolala Al Saadah City Mall Salalah WH
Chocolala Grand Mall Salalah,Chocolala Grand Mall Salalah WH
Chocolala Qurum City Center,Chocolala Qurum City Center WH
Chocolala Mall of Oman,Chocolala Mall of Oman WH
Chocolala Sohar City Center,Chocolala Sohar City Center WH
Chocolala Muscat Grand Mall,Chocolala Muscat Grand Mall WH
Chocolala Al Azaiba,Chocolala Al Azaiba WH
Chocola Pure Muroor,Chocola Pure Muroor WH
Chocola Pure Forsan,Chocola Pure Forsan WH
Chocola Pure Al Zahiya,Chocola Pure Al Zahiya WH
Chocola Pure Dibba,Chocola Pure Dibba WH
Chocola Pure Barsha,Chocola Pure Barsha WH
Chocola Pure Ethihad,Chocola Pure Ethihad WH
Chocola Pure Nad Al Hamar,Chocola Pure Nad Al Hamar WH
Chocola Pure Al Warqa,Chocola Pure Al Warqa WH
Chocola Pure Al Hamra,Chocola Pure Al Hamra WH
Chocola Pure Corniche,Chocola Pure Corniche WH
Chocolala Nad Al Hamar,Chocolala Nad Al Hamar WH
Chocolala Fujairah,Chocolala Fujairah WH
Chocolala Al Ain- 2,Chocolala Al Ain- 2 WH
Chocolala Burjeel Abudhabi,Chocolala Burjeel Abudhabi WH
Chocolala Muroor Abudhabi,Chocolala Muroor Abudhabi WH
Chocolala Arch Mall DXB, Chocolala Arch Mall DXB WH
Chocolala Al Warqa DXB,Chocolala Al Warqa DXB WH
Chocolala Ethihad Mall DXB,Chocolala Ethihad Mall DXB WH
Chocolala Latifa Hospital DXB,Chocolala Latifa Hospital DXB WH
Chocolala Saudi German DXB,Chocolala Saudi German DXB WH
Chocolala Khorfakkan,Chocolala Khorfakkan WH
Chocolala Sharjah 3- Muweiliha,Chocolala Sharjah 3- Muweiliha WH
Chocolala Ajman City Center,Chocolala Ajman City Center WH
Chocolala UAQ-1,Chocolala UAQ-1 WH
Chocolala RAK4- Al Dhait,Chocolala RAK4- Al Dhait WH
Chocolala RAK3-Saqr Hospital,Chocolala RAK3-Saqr Hospital WH
Chocolala Rams,Chocolala Rams WH
Chocolala Dibba,Chocolala Dibba WH
Chocolala Al Ain- 3,Chocolala Al Ain- 3 WH
Chocolala Al Ain- 1,Chocolala Al Ain- 1 WH
Chocolala Forsan Abudhabi,Chocolala Forsan Abudhabi WH
Chocolala Baniyas Abudhabi,Chocolala Baniyas Abudhabi WH
Chocolala Khalidiya Abudhabi,Chocolala Khalidiya Abudhabi WH
Chocolala Barsha Mall,Chocolala Barsha Mall WH
Chocolala Sharjah 2- Al Zhaid,Chocolala Sharjah 2- Al Zhaid WH
Chocolala Sharjah 1- Samnan,Chocolala Sharjah 1- Samnan WH
Chocolala RAK2- Gulf Round About, Chocolala RAK2- Gulf Round About WH
Chocolala RAK 1- Corniche,Chocolala RAK 1- Corniche WH
CHOCOLALA - FOREIGN BRANCH COMPANY,CHOCOLALA - FOREIGN BRANCH COMPANY WH
ALABSI AND PARTNERS TRADING,ALABSI AND PARNERS TRADING WH
Chocola Pure - Sole Proprietorship LLC,Chocola Pure - Sole Proprietorship LLC WH
Chocola Pure LLC. One Person,Chocola Pure LLC. One Person WH
CHOCOLALA LLC,CHOCOLALA LLC WH
Chocolala LLC, Chocolala LLC WH
Chocolala LLC Sole Proprietorship,Chocolala LLC Sole Proprietorship WH
Atayeb Chocolate Store,Atayeb Chocolate Store
Chocolala Al Wakrah,Al Wakrah Qatar
